movie,review_example
"The Matrix",A sci-fi film about a computer hacker who learns that the world he lives in is actually a computer simulation.
"Whiplash",A drama film about a young jazz drummer who is pushed to the breaking point by his demanding teacher
"12 Years a Slave",A powerful and moving film about a free black man who is kidnapped and sold into slavery.
"1917",A stunning and immersive war film about two British soldiers on a mission to deliver a message.
"Argo",A thrilling and suspenseful film about the CIA's rescue of six American diplomats.
"Bend It Like Beckham",A charming and uplifting film about a young Indian girl who dreams of playing professional football.
"The Big Short",A smart and funny film about the financial crisis of 2008.
"The Boy in the Striped Pajamas",A heartbreaking and disturbing film about a young boy who befriends a Jewish boy in a concentration camp.
"Bohemian Rhapsody",A rousing and entertaining film about the band Queen and their lead singer, Freddie Mercury.
"Bridge of Spies",A suspenseful and intelligent film about a lawyer who is tasked with negotiating the release of a U.S. spy.
"The Curious Case of Benjamin Button",A visually stunning and emotionally resonant film about a man who ages in reverse.
"Dallas Buyers Club",A powerful and moving film about a man with AIDS who starts a business importing illegal drugs.
"The Departed",A complex and suspenseful film about two undercover cops who are working on opposite sides of the law.
"The Elephant Man",A moving and disturbing film about a man with a rare medical condition.
"The Father",A heartbreaking and suspenseful film about a man who is slowly losing his memory.
"The Fighter",A gritty and realistic film about two brothers who are boxers.
"The Good, the Bad and the Ugly",A classic Western about three men who are all searching for a buried treasure.
"Good Will Hunting",A heartwarming and intelligent film about a young man with a gift for mathematics.
"Schindler's List",A historical drama about Oskar Schindler, a German businessman who saved the lives of over 1,000 Jews during the Holocaust.
"The Green Mile",A powerful and moving film about a man who is sentenced to death for a crime he may not have committed.
"The Greatest Showman",A visually stunning and entertaining film about the creator of the Barnum & Bailey Circus.
"The Artist",A beautifully crafted and heartwarming film about a silent film star.
"Hacksaw Ridge",A powerful and inspiring film about a World War II medic who refuses to carry a weapon.
"Hidden Figures",A heartwarming and inspiring film about a team of African American women who worked as mathematicians at NASA.
"The Imitation Game",A suspenseful and intelligent film about Alan Turing, the British mathematician who cracked the Enigma code.
"Inception",A visually stunning and mind-bending film about a group of thieves who steal information by entering people's dreams.
"Interstellar",A visually stunning and thought-provoking film about a group of astronauts who travel through a wormhole.
"The Lord of the Rings: The Return of the King",A fantasy film about the final battle between good and evil in Middle-earth.
"The Martian",A sci-fi film about an astronaut who is stranded on Mars and must use his ingenuity to survive.
"Milk",A biographical film about Harvey Milk, the first openly gay man to be elected to public office in California.
"Moneyball",A sports film about a general manager who uses statistics to build a winning baseball team.
"Munich",A historical thriller about a team of Israeli agents who are sent to avenge the deaths of 11 Israeli athletes at the 1972 Olympics.
"The Pianist",A biographical film about a Polish Jewish pianist who survives the Holocaust.
"Spotlight",A drama film about a team of Boston Globe journalists who investigate the Catholic Church's cover-up of child sexual abuse.
"Sully",A biographical film about Chesley Sullenberger, the pilot who safely landed a plane on the Hudson River after it lost both engines.
"The Theory of Everything",A biographical film about Stephen Hawking, the physicist who was diagnosed with ALS at the age of 21.
"Unbroken",A biographical film about Louis Zamperini, an Olympic runner who survived 47 days adrift in the Pacific Ocean after his plane was shot down during World War II.
"The King's Speech",A powerful and inspiring film about King George VI who overcomes his stammer to lead his country.